BN_IDLE0 barniel/movietv
BN_IDLE1 barniel/badfeeling
BN_IDLE2 barniel/aimforhead
BN_STARE0 barniel/yessir
BN_STARE1 barniel/aimforhead
BN_STARE2 barniel/badfeeling
BN_POK0 barniel/bn_post
BN_HISTOP1 barniel/humm, waitin
BN_SLEEP1 barniel/bn_die1
BN_RETINA0 barniel/yessir
BN_NOFOLLOW0 barniel/seelater
BN_VAR0 barniel/hevno
BN_VAR1 barniel/seeya
KA_WAIT0 kate/waithere
KA_VAR0 kate/ka_attack1
KA_VAR1 kate/iamkate
KA_VAR2 kate/freebarney
KA_VAR3 kate/seelater
KA_VAR4 kate/hevno
KA_VAR5 kate/resquedatlast
KA_VAR6 kate/staypost
KA_VAR7 kate/welcome
KA_NOWATER0 kate/waithere2
KA_WAIT0 kate/seeyoulater
KA_RETINA0 kate/yesbarn
KA_PLAT0 kate/correctway
KA_ARRESTED0 common/null
KA_SCRIPT0 kate/whatgoingon2
KA_SCRIPT1 kate/somethingmove
KA_SCRIPT2 kate/ka_attack1
KA_SCRIPT3 kate/youwish
OT_OK0 barniel/teamup2
OT_OK1 barniel/teamup1
OT_OK2 barniel/teamup2
OT_OK3 barniel/teamup1
OT_OK4 barniel/teamup2
OT_OK5 barniel/teamup2
OT_OK6 barniel/teamup1
OT_WAIT0 barniel/waitin
OT_WAIT1 barniel/stop1
OT_WAIT2 barniel/waitin
OT_WAIT3 barniel/waitin
OT_WAIT4 barniel/stop1
OT_WAIT5 barniel/waitin
OT_WAIT6 barniel/waitin
OT_HELLO0 barniel/hi
OT_HELLO1 barniel/hi
OT_HELLO2 barniel/hi
OT_HELLO3 barniel/hi
OT_QUESTION0 barniel/drinktopside
OT_QUESTION1 barniel/rightway
OT_QUESTION2 barniel/thinking
OT_QUESTION3 barniel/slimything
OT_QUESTION4 barniel/whatsgoingon
OT_QUESTION5 barniel/whatsgoingon
OT_QUESTION6 barniel/rightway
OT_ANSWER0 barniel/yessir
OT_ANSWER1 barniel/dontagree
OT_ANSWER2 barniel/humm
OT_ANSWER3 barniel/nosir
OT_ANSWER4 barniel/dontknow
OT_ANSWER5 barniel/bequiet
OT_ANSWER6 barniel/bequiet
OT_ANSWER7 barniel/dontagree
OT_ANSWER8 barniel/bequiet
OT_ANSWER9 barniel/nosir
OT_ANSWER10 barniel/nosir
OT_ANSWER12 barniel/nosir
OT_ANSWER13 barniel/humm
OT_ANSWER14 barniel/bequiet
OT_ANSWER15 barniel/humm
OT_ANSWER16 barniel/dontagree
OT_ANSWER17 barniel/humm
OT_ANSWER18 barniel/dontagree
OT_ANSWER19 barniel/nosir
OT_ANSWER20 barniel/humm
OT_KILL0 barniel/bn_onelessh
OT_KILL1 barniel/bn_seethat
OT_KILL2 barniel/bn_another
OT_KILL3 barniel/bn_gotone
OT_KILL4 barniel/bn_close
OT_KILL5 barniel/bn_firepl
OT_KILL6 barniel/bn_bring
OT_MAD0 barniel/bn_tomb
OT_MAD1 barniel/bn_dontmake
OT_MAD2 barniel/bn_somuch
OT_MAD3 barniel/bn_endline
OT_SHOT0 barniel/bn_friends
OT_SHOT1 barniel/bn_whatyou
OT_SHOT2 barniel/bn_becarefull
OT_SHOT3 barniel/bn_dontdothat
OT_SHOT4 barniel/bn_carefull
OT_SHOT5 barniel/hitbad
OT_IDLE0 barniel/youneedmedic
OT_IDLE1 barniel/hearsomething
OT_IDLE2 barniel/hearsomething
OT_IDLE3 barniel/youneedmedic
OT_IDLE4 barniel/hearsomething
OT_IDLE5 barniel/youneedmedic
OT_IDLE6 barniel/hearsomething
OT_ATTACK0 barniel/openfire
OT_ATTACK1 barniel/bn_attack1
OT_ATTACK2 barniel/aimforhead
OT_ATTACK3 barniel/diegreenthing
OT_HEAR0 barniel/hearsomething
OT_HEAR1 barniel/hearsomething
OT_SMELL0 barniel/somethingmoves
OT_SMELL1 barniel/somethingmoves
OT_SMELL2 barniel/somethingmoves
OT_CUREA barniel/youneedmedic
OT_CUREB barniel/youneedmedic
OT_CUREC barniel/youneedmedic
OT_SCARED0 barniel/bn_whatyou
OT_SCARED1 barniel/bn_dontdothat
OT_WOUND0 barniel/imhit
OT_WOUND1 barniel/hitbad
OT_MORTAL0 barniel/hitbad
OT_MORTAL1 barniel/imhit
